product_name,price,url
Pink Embroidery Feigen,Rp 349.000,/collections/women/products/pink-embroidery-feigen
Navy Striped Viviani,Rp 349.000,/collections/women/products/navy-striped-viviani
Navy Striped Ruairi,Rp 349.000,/collections/women/products/navy-striped-ruairi
Light Blue Tweed Aether,Rp 269.000,/collections/women/products/light-blue-tweed-aether
Flower Embroidery Faure,Rp 369.000,/collections/women/products/flower-embroidery-faure
Off-white Elpidia,Rp 279.000,/collections/women/products/off-white-elpidia
Nautical Elpidia,Rp 279.000,/collections/women/products/nautical-elpidia
Off-white Striped Lombardi,Rp 349.000,/collections/women/products/off-white-striped-lombardi
Multicolor Striped Coulter,Rp 369.000,/collections/women/products/multicolor-striped-coulter
Pink Tencel Arsema,Rp 249.000,/collections/women/products/pink-tencel-arsema
Navy Fortela,Rp 399.000,/collections/women/products/navy-fortela-1
Navy Adjoa,Rp 269.000,/collections/women/products/navy-adjoa
Cream Arsema,Rp 199.000,/collections/women/products/cream-arsema
Off-white Debicki,Rp 269.000,/collections/women/products/off-white-debicki
Navy Blue Mayza,Rp 329.000,/collections/women/products/navy-blue-mayza
Black Berlant,Rp 349.000,/collections/women/products/black-berlant
Off-white Berlant,Rp 349.000,/collections/women/products/off-white-berlant
2014 Tie Shirt,Rp 249.000,/collections/women/products/2014-tie-shirt
Dark Wash Denim Ingram (restock),Rp 399.000,/collections/women/products/dark-wash-denim-ingram-restock
Dark Denim Saldana (restock),Rp 199.000,/collections/women/products/dark-denim-saldana-restock
Off-white Striped Debicki,Rp 269.000,/collections/women/products/off-white-striped-debicki
Off-white Striped Tucci,Rp 299.000,/collections/women/products/off-white-striped-tucci
Off-white Estimond,Rp 279.000,/collections/women/products/off-white-estimond
Black Striped Myrin,Rp 229.000,/collections/women/products/black-striped-myrin
2010 Miniboxy Top,Rp 229.000,/collections/women/products/2010-miniboxy-top
Black Striped Jordis,Rp 269.000,/collections/women/products/black-striped-jordis
Blue Striped Winkler,Rp 269.000,/collections/women/products/blue-striped-winkler
Black Striped Milena,Rp 249.000,/collections/women/products/black-striped-milena
Multicolor Striped Stamos,Rp 279.000,/collections/women/products/multicolor-striped-stamos
2015 Preppy Shirt,Rp 309.000,/collections/women/products/2015-preppy-shirt
2013 Navy Draped Tee,Rp 239.000,/collections/women/products/2013-navy-draped-tee
2013 Offwhite Draped Tee,Rp 239.000,/collections/women/products/2013-offwhite-draped-tee
2010 Boxy Tee,Rp 199.000,/collections/women/products/2010-boxy-tee
Flower Embroidery Birman,Rp 329.000,/collections/women/products/flower-embroidery-birman
2016 Need Coffee Devon,Rp 349.000,/collections/women/products/2016-need-coffee-devon
Off-white Striped Trucco,Rp 349.000,/collections/women/products/off-white-striped-trucco
Blue Bayda,Rp 409.000,/collections/women/products/blue-bayda
Navy Trevino,Rp 429.000,/collections/women/products/navy-trevino
Black Girone,Rp 309.000,/collections/women/products/black-girone
Multicolor Striped Seidel,Rp 279.000,/collections/women/products/multicolor-striped-seidel
Blue Striped Joh,Rp 249.000,/collections/women/products/blue-striped-joh
Butter Striped Effie,Rp 199.000,/collections/women/products/butter-striped-effie
Off-white Striped Effie,Rp 199.000,/collections/women/products/off-white-striped-effie-1
Pink Striped Effie,Rp 199.000,/collections/women/products/pink-striped-effie
Peach Striped Effie,Rp 199.000,/collections/women/products/peach-striped-effie
Dark Blue Striped Effie,Rp 199.000,/collections/women/products/dark-blue-striped-effie
Black Polka Effie,Rp 199.000,/collections/women/products/black-polka-effie
Pink Jossan,Rp 279.000,/collections/women/products/pink-jossan
Light Blue Jossan,Rp 279.000,/collections/women/products/light-blue-jossan
Off-white Striped Bineta,Rp 269.000,/collections/women/products/off-white-striped-bineta
Blue Striped Elpidia,Rp 269.000,/collections/women/products/blue-striped-elpidia
Blue Candy Clouds Nimri,Rp 399.000,/collections/women/products/blue-candy-clouds-nimri
Green Summer Breeze Kieran,Rp 299.000,/collections/women/products/green-summer-breeze-kieran
Off-white Dandelion Myriam,Rp 299.000,/collections/women/products/off-white-dandelion-myriam
Blue Candy Clouds Braun,Rp 279.000,/collections/women/products/blue-candy-clouds-braun
Blue Candy Clouds Morven,Rp 249.000,/collections/women/products/blue-candy-clouds-morven
Off-white Summer Breeze Klein,Rp 279.000,/collections/women/products/off-white-summer-breeze-klein
Blue Lily Romare,Rp 299.000,/collections/women/products/blue-lily-romare
Off-white Albioni,Rp 229.000,/collections/women/products/off-white-albioni
Navy Wish Baiba,Rp 229.000,/collections/women/products/navy-wish-baiba
Peach Clouds Leiva,Rp 299.000,/collections/women/products/peach-clouds-leiva
Navy Lily Devon,Rp 369.000,/collections/women/products/navy-lily-devon
Off-white Lily Devon,Rp 369.000,/collections/women/products/off-white-lily-devon
Green Summer Breeze Landry,Rp 369.000,/collections/women/products/green-summer-breeze-landry
Peach Home Belzer,Rp 369.000,/collections/women/products/peach-home-belzer
Navy Wish Sosanya,Rp 279.000,/collections/women/products/navy-wish-sosanya
Off-white Kauppi,Rp 379.000,/collections/women/products/off-white-kauppi
Navy Wish Atkins,Rp 499.000,/collections/women/products/navy-wish-atkins
Navy Wish Ferlito,Rp 329.000,/collections/women/products/navy-wish-ferlito
Blue Candy Clouds Shimara,Rp 349.000,/collections/women/products/blue-candy-clouds-shimara
Blue Striped Tanesa,Rp 349.000,/collections/women/products/blue-striped-tanesa
Off-white Elmara,Rp 349.000,/collections/women/products/off-white-elmara
Ecru Bedisa,Rp 349.000,/collections/women/products/ecru-bedisa
Off-white Mayza,Rp 329.000,/collections/women/products/off-white-mayza-2
Medium Wash Anguine,Rp 459.000,/collections/women/products/medium-wash-anguine
Medium Denim Ariada,Rp 449.000,/collections/women/products/medium-denim-ariada
Light Denim Suran,Rp 429.000,/collections/women/products/light-denim-suran-4
Medium Denim Lavinia,Rp 299.000,/collections/women/products/medium-denim-lavinia
Off-white Jardin Baero,Rp 329.000,/collections/women/products/off-white-jardin-baero-1
Pink Rose Drury,Rp 279.000,/collections/women/products/pink-rose-drury-2
Off-white Sloyan,Rp 199.000,/collections/women/products/off-white-sloyan
Dark Denim Saldana,Rp 199.000,/collections/women/products/dark-denim-saldana
Black Nikos,Rp 429.000,/collections/women/products/black-nikos
Dark Denim Garson,Rp 379.000,/collections/women/products/dark-denim-garson
Dark Wash Denim Riven,Rp 449.000,/collections/women/products/dark-wash-denim-riven
Black Torv,Rp 399.000,/collections/women/products/black-torv
Off-white Turpin,Rp 399.000,/collections/women/products/off-white-turpin
Dark Denim Turpin,Rp 399.000,/collections/women/products/dark-denim-turpin
Brown Amoros,Rp 499.000,/collections/women/products/brown-amoros
Black Friel,Rp 449.000,/collections/women/products/black-friel
Blue Friel,Rp 449.000,/collections/women/products/blue-friel
Blue Striped Plemons,Rp 429.000,/collections/women/products/blue-striped-plemons
Coral Ineson,Rp 399.000,/collections/women/products/coral-ineson
Dark Wash Denim Ingram,Rp 399.000,/collections/women/products/dark-wash-denim-ingram
Military Ingram,Rp 369.000,/collections/women/products/military-ingram
Light Blue Dynevor,Rp 349.000,/collections/women/products/light-blue-dynevor
Blue Striped Pippy,Rp 349.000,/collections/women/products/blue-striped-pippy
Off-white Gemmell,Rp 369.000,/collections/women/products/off-white-gemmell
Off-white Dusen,Rp 349.000,/collections/women/products/off-white-dusen
Blue Striped Dusen,Rp 349.000,/collections/women/products/blue-striped-dusen
Navy Gemmell,Rp 369.000,/collections/women/products/navy-gemmell
Off-white Tanesa,Rp 349.000,/collections/women/products/off-white-tanesa-4
Black Spinelli,Rp 399.000,/collections/women/products/black-spinelli
Off-white Spinelli,Rp 399.000,/collections/women/products/off-white-spinelli
Off-white Biedel,Rp 249.000,/collections/women/products/off-white-biedel
Off-white Chatwin,Rp 269.000,/collections/women/products/off-white-chatwin
Black Dirado,Rp 399.000,/collections/women/products/black-dirado
Dark Wash Denim Rulfo,Rp 279.000,/collections/women/products/dark-wash-denim-rulfo
Off-white Ianina,Rp 249.000,/collections/women/products/off-white-ianina
Navy Blue Striped Trucco,Rp 349.000,/collections/women/products/navy-blue-striped-trucco
Navy Blue Striped Balint,Rp 269.000,/collections/women/products/navy-blue-striped-balint
Blue Striped Balint,Rp 269.000,/collections/women/products/blue-striped-balint
Navy Blue Striped Gugino,Rp 349.000,/collections/women/products/navy-blue-striped-gugino
Off-white Striped Gugino,Rp 349.000,/collections/women/products/off-white-striped-gugino
Off-white Striped Girotti,Rp 429.000,/collections/women/products/off-white-striped-girotti
